CUST_ID,CUSTNAME,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,EMAIL_ADDRESS,PHONE_NUMBER,YTD_SALES,SALESREP_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,CREDITCARD_TYPE,CREDITCARD_EXP,CREDITCARD_CVV
10001,Michael Golden,Abbadia Alpina,TO,IT,10060,Michael.E.golden@spambob.com,724-454-8453,90.3,SE133,IT,152-374-114,5668369040063070,American Express,10-24,4950
10002,Renee Mullins,Columbus,OH,US,45101,Rene.K.mullins@dodgeit.com,229-990-2162,0,NC169,UK,124-168-918,5148585346736100,American Express,10-24,6951
10003,Allen Schmidt,Abeto,PG,IT,6040,Allen.M.schmidt@spambob.com,288-202-8653,304,RP385,U.S.,346-450-984,3410798390214360,Master Card,10-24,6120
10004,Robert May,Houston,TX,US,79601,Robert.C.may@spambob.com,630-492-6535,304,SE337,U.S.,516-264-270,4861418531939110,VISA,10-24,1794
10005,Joe Cruz,Harrisonburg,VA,US,24210,Joe.D.cruz@spambob.com,448-788-1089,180.3,WE355,ES,766-887-613,4914921923672130,VISA,10-24,7596
10006,Rebecca White,Acate,RG,IT,97011,Rebecca.white@spambob.com,828-268-4303,52,SC325,IT,910-870-499,5786936469848100,American Express,10-24,7822
10352,Gary Neal,Chicago,IL,US,61701,Gary.N.neal@dodgeit.com,267-929-9454,673,WE283,U.S.,145-878-802,4258942347620500,VISA,10-24,1794
10422,Steve Huynh,Detroit,MI,US,48614,Steve.A.huynh@dodgeit.com,644-101-7549,904.86,NE307,CA,660-530-929,5632595683364880,American Express,10-24,4511
10007,Anthony Johnson,Achstetten,,DE,88480,Anthony.H.johnson@pookmail.com,907-111-5490,354,WE349,IT,595-442-524,4197758257700300,VISA,11-24,9785
10008,Alberto Fabian,Acquabona,BL,IT,32043,Alberto.T.fabian@pookmail.com,113-785-7672,352,SW211,CA,270-598-741,5803934427959600,American Express,11-24,2725
10009,Ronald Gordon,Acquarica Del Capo,LE,IT,73040,Ronald.J.gordon@dodgeit.com,994-960-8006,0,NW313,IT,862-654-325,5612076703910780,American Express,11-24,5606
10010,Christopher Marcello,Acquarola,SA,IT,84080,Christopher.V.marcello@trashymail.com,717-217-7230,180.3,NC160,FR,173-526-693,5952639336288150,American Express,11-24,7416
10012,Chris Green,ACTON,,UK,SY9 6CX,Chris.M.green@pookmail.com,933-753-6160,5869.4,RP385,U.S.,321-821-746,2781451162480590,Discover,11-24,6391
10013,Norbert Crawford,Lansing,MI,US,49301,Norbert.T.crawford@spambob.com,983-926-6221,6101,SW280,CA,626-436-952,2380938497157940,Discover,11-24,1802
10014,Mike Dunmire,Louisville,KY,US,42202,Mike.L.dunmire@spambob.com,728-473-5757,290.48,SW214,CA,490-501-154,4297236252904040,VISA,11-24,3958
10015,Thomas Thompson,Adami,CZ,IT,88041,Thomas.N.thompson@mailinator.com,431-234-4026,304,WE352,FR,344-724-281,4601955454180880,VISA,11-24,7655
10016,Margaret Smith,Benld,IL,US,60101,Margaret.R.smith@dodgeit.com,546-811-6192,0,SW148,IT,446-132-118,6679637625291560,Diners Club,11-24,5965
10018,Curtis Spear,Afragola,NA,IT,80021,Curtis.N.spear@dodgeit.com,372-602-5970,5000.9,NW118,UK,886-542-435,6528261988104500,Diners Club,11-24,287
10019,Anthony Perry,Agallas,,ES,37511,Anthony.T.perry@trashymail.com,785-306-8808,3780.51,SE208,IT,101-904-234,2180946046525030,Discover,11-24,2816
10020,Jasmine Hall,Agliano Terme,AT,IT,14041,Jasmine.M.hall@trashymail.com,829-738-4697,152,RP319,U.S.,285-433-598,5714146426634500,American Express,11-24,9458
10021,Earl Mills,Agnadello,CR,IT,26020,Earl.R.mills@mailinator.com,247-773-7970,0,WE220,ES,387-527-216,4460411907642150,VISA,11-24,2675
