SALESREP_ID,FIRST_NAME,LAST_NAME,NATIONALITY,NATIONAL_ID,PHONE_NUMBER,AGE,SEX,TERRITORY,EMAIL_ADDRESS,MANAGER_ID
NC100,Signe,Campbell,IT,152-374-114,724-454-8453,21,F,NorthCentral,Signe_Campbell@abcxyzentertainment.com,MA0081
NC160,Betsy,Adams,UK,124-168-918,229-990-2162,35,F,NorthCentral,Betsy_Adams@abcxyzentertainment.com,MA0081
NC163,Dylan,Daniels,US,346-450-984,288-202-8653,50,M,NorthCentral,Dylan_Daniels@abcxyzentertainment.com,MA0081
NC166,Penney,Hayes,FR,516-264-270,630-492-6535,50,F,NorthCentral,Penney_Hayes@abcxyzentertainment.com,MA0081
NC169,Fredericka,King,ES,766-887-613,448-788-1089,88,F,NorthCentral,Fredericka_King@abcxyzentertainment.com,MA0081
NC232,Lakeesha,Jenkins,IT,910-870-499,828-268-4303,21,F,NorthCentral,Lakeesha_Jenkins@abcxyzentertainment.com,MA0081
NC292,Rosalyn,Inman,CA,145-878-802,267-929-9454,35,F,NorthCentral,Rosalyn_Inman@abcxyzentertainment.com,MA0081
NC295,Kary,Miller,IT,660-530-929,644-101-7549,50,F,NorthCentral,Kary_Miller@abcxyzentertainment.com,MA0081
NC298,Matilda,Neal,US,595-442-524,907-111-5490,21,F,NorthCentral,Matilda_Neal@abcxyzentertainment.com,MA0081
NC358,Marcie,Robinson,ES,270-598-741,113-785-7672,35,F,NorthCentral,Marcie_Robinson@abcxyzentertainment.com,MA0081
NC361,Adolfo,Sullivan,UK,862-654-325,994-960-8006,50,M,NorthCentral,Adolfo_Sullivan@abcxyzentertainment.com,MA0081
NC364,Teresa,Underhill,ES,173-526-693,717-217-7230,21,F,NorthCentral,Teresa_Underhill@abcxyzentertainment.com,MA0081
NC424,Devon,Quigley,CA,321-821-746,933-753-6160,80,M,NorthCentral,Devon_Quigley@abcxyzentertainment.com,MA0081
NC427,Sheree,Vaughn,US,626-436-952,983-926-6221,50,F,NorthCentral,Sheree_Vaughn@abcxyzentertainment.com,MA0081
NE103,Tiffaney,Yates,CA,490-501-154,728-473-5757,50,F,NorthEast,Tiffaney_Yates@abcxyzentertainment.com,MA0066
NE109,Blanche,Seager,FR,344-724-281,431-234-4026,18,F,NorthEast,Blanche_Seager@abcxyzentertainment.com,MA0066
NE172,Nevada,Brown,IT,446-132-118,546-811-6192,69,M,NorthEast,Nevada_Brown@abcxyzentertainment.com,MA0066
NE175,Eli,Williams,IT,886-542-435,372-602-5970,80,M,NorthEast,Eli_Williams@abcxyzentertainment.com,MA0066
NE178,Usha,Everett,UK,101-904-234,785-306-8808,18,F,NorthEast,Usha_Everett@abcxyzentertainment.com,MA0066
NE235,Odell,Smith,US,285-433-598,829-738-4697,50,M,NorthEast,Odell_Smith@abcxyzentertainment.com,MA0066
NE238,Samuel,Grayson,ES,387-527-216,247-773-7970,80,M,NorthEast,Samuel_Grayson@abcxyzentertainment.com,MA0066
NE301,HARLAN,Ferguson,ES,122-887-358,837-197-8450,50,M,NorthEast,HARLAN_Ferguson@abcxyzentertainment.com,MA0066
NE304,Roland,Ulmer,ES,298-314-268,151-621-3826,80,M,NorthEast,Roland_Ulmer@abcxyzentertainment.com,MA0066
NE307,Soraya,Reed,ES,702-324-175,813-785-4282,18,F,NorthEast,Soraya_Reed@abcxyzentertainment.com,MA0066
NE367,Marvel,White,IT,498-582-148,889-609-7513,50,M,NorthEast,Marvel_White@abcxyzentertainment.com,MA0066
NE370,Jacques,Harrison,FR,301-901-563,150-561-4009,80,M,NorthEast,Jacques_Harrison@abcxyzentertainment.com,MA0066
NE373,Deneed,Olson,IT,455-115-197,541-446-6560,18,F,NorthEast,Deneed_Olson@abcxyzentertainment.com,MA0066
NW112,Janel,Taylor,ES,597-332-842,159-448-5428,17,F,NorthWest,Janel_Taylor@abcxyzentertainment.com,MA0015
NW115,Abel,Ulrich,US,637-124-142,249-698-7603,45,M,NorthWest,Abel_Ulrich@abcxyzentertainment.com,MA0015
NW118,Carlton,Kelly,FR,481-584-509,617-962-8742,30,M,NorthWest,Carlton_Kelly@abcxyzentertainment.com,MA0015
NW181,Talisha,Lawson,FR,971-616-212,417-116-3246,19,F,NorthWest,Talisha_Lawson@abcxyzentertainment.com,MA0015
NW184,Hoyt,Sanders,ES,423-436-753,475-611-7128,45,M,NorthWest,Hoyt_Sanders@abcxyzentertainment.com,MA0015
NW187,Flavia,Doyle,CA,667-561-377,371-417-8816,45,M,NorthWest,Flavia_Doyle@abcxyzentertainment.com,MA0015
NW244,Samella,Martin,IT,293-802-860,278-220-2767,19,F,NorthWest,Samella_Martin@abcxyzentertainment.com,MA0015
NW247,Robert,Nichols,IT,165-567-664,473-751-6076,45,M,NorthWest,Robert_Nichols@abcxyzentertainment.com,MA0015
NW310,Marlys,Irwin,IT,675-319-762,979-977-5433,19,F,NorthWest,Marlys_Irwin@abcxyzentertainment.com,MA0015
NW313,Velia,Harrelson,IT,539-546-560,379-218-5577,45,F,NorthWest,Velia_Harrelson@abcxyzentertainment.com,MA0015
NW316,Lloyd,Gilford,UK,593-567-916,247-893-3910,30,M,NorthWest,Lloyd_Gilford@abcxyzentertainment.com,MA0015
NW376,Jodi,Griffith,CA,288-762-408,882-839-3709,19,F,NorthWest,Jodi_Griffith@abcxyzentertainment.com,MA0015
NW379,Sherill,Jackson,ES,943-254-707,966-771-5050,45,F,NorthWest,Sherill_Jackson@abcxyzentertainment.com,MA0015
NW382,Marlana,Jackson,CA,859-839-707,574-739-9136,30,F,NorthWest,Marlana_Jackson@abcxyzentertainment.com,MA0015
RP121,Pam,Nickerson,IT,307-239-695,798-357-1868,30,M,Massachusetts,Pam_Nickerson@abcxyzentertainment.com,MA0066
RP190,Ashley,Fox,IT,866-332-302,408-623-4161,30,F,Massachusetts,Ashley_Fox@abcxyzentertainment.com,MA0066
RP253,Jonah,Yeager,UK,970-485-190,753-484-3836,30,M,Massachusetts,Jonah_Yeager@abcxyzentertainment.com,MA0066
RP319,Bon,Xavier,FR,472-691-684,765-285-3572,30,F,Massachusetts,Bon_Xavier@abcxyzentertainment.com,MA0066
RP385,Margereta,Vance,US,439-589-844,553-715-8233,30,F,Massachusetts,Margereta_Vance@abcxyzentertainment.com,MA0066
SC124,John,Rogers,US,998-599-243,925-845-6235,62,M,SouthCentral,John_Rogers@abcxyzentertainment.com,MA0021
SC127,Shwanda,Anderson,CA,930-619-152,229-942-5028,28,F,SouthCentral,Shwanda_Anderson@abcxyzentertainment.com,MA0021
SC130,Fallon,Cook,UK,382-318-359,988-573-3564,57,M,SouthCentral,Fallon_Cook@abcxyzentertainment.com,MA0021
SC193,Teressa,Walker,IT,381-279-761,978-356-7140,62,F,SouthCentral,Teressa_Walker@abcxyzentertainment.com,MA0021
SC196,Mina,Tillings,UK,889-698-144,432-764-8785,28,F,SouthCentral,Mina_Tillings@abcxyzentertainment.com,MA0021
